group_name,group_id,survey_name,survey_id,status_code
ACA - FSC,GR_3CKM2kr25eqcocK,ACA Interest Survey,SV_a9szkYuESa1oOYl,200
Actual Youth Stem - FSC,GR_6KbGK2WwknAtcDs,Actua Youth STEM Landcamp Participant Survey,SV_eQDV2NHs9MP58Lb,200
Actual Youth Stem - FSC,GR_6KbGK2WwknAtcDs,Actua Youth STEM Landcamp Participant Survey,SV_eQDV2NHs9MP58Lb,200
ADaPT - FSC,GR_e8WvV7yfmvsbr9k,FSC_0.0.1_ADaPT_2.0_s01_Intake,SV_43nVQXc8uMcH3JY,401
ADaPT - FSC,GR_e8WvV7yfmvsbr9k,FSC_0.0.1_ADaPT_2.0_s01_Intake,SV_43nVQXc8uMcH3JY,401
ADaPT - FSC,GR_e8WvV7yfmvsbr9k,FSC_0.0.1_ADaPT_2.0_s02_Exit,SV_6fCitYzc8FNwow6,401
ADaPT - FSC,GR_e8WvV7yfmvsbr9k,FSC_0.0.1_ADaPT_2.0_s02_Exit,SV_6fCitYzc8FNwow6,401
ADaPT - FSC,GR_e8WvV7yfmvsbr9k,FSC_0.0.1_ADaPT_2.0_s03_Follow-up_3mon,SV_bKERWKDmfKvtvPU,401
ADaPT - FSC,GR_e8WvV7yfmvsbr9k,FSC_0.0.1_ADaPT_2.0_s03_Follow-up_3mon,SV_bKERWKDmfKvtvPU,401
ADaPT - FSC,GR_e8WvV7yfmvsbr9k,FSC_0.0.1_ADaPT_2.0_s04_Follow-up_9mon,SV_ehfjZMG4XKfazJ4,401
ADaPT - FSC,GR_e8WvV7yfmvsbr9k,FSC_0.0.1_ADaPT_2.0_s04_Follow-up_9mon,SV_ehfjZMG4XKfazJ4,401
ADaPT - FSC,GR_e8WvV7yfmvsbr9k,FSC_0.0.1_ADaPT_s01_Intake,SV_6xSsyujgMQYZT2R,401
ADaPT - FSC,GR_e8WvV7yfmvsbr9k,FSC_0.0.1_ADaPT_s01_Intake,SV_6xSsyujgMQYZT2R,401
ADaPT - FSC,GR_e8WvV7yfmvsbr9k,FSC_0.0.1_ADaPT_s02_Exit,SV_9nrohRYONeMknzL,401
ADaPT - FSC,GR_e8WvV7yfmvsbr9k,FSC_0.0.1_ADaPT_s02_Exit,SV_9nrohRYONeMknzL,401
ADaPT - FSC,GR_e8WvV7yfmvsbr9k,FSC_0.0.1_ADaPT_s03_Follow-up_3mon,SV_eMcIQjWpQLFz2jH,401
ADaPT - FSC,GR_e8WvV7yfmvsbr9k,FSC_0.0.1_ADaPT_s03_Follow-up_3mon,SV_eMcIQjWpQLFz2jH,401
ADaPT - FSC,GR_e8WvV7yfmvsbr9k,FSC_0.0.1_ADaPT_s04_Follow-up_9mon,SV_722ofraQZJvdR41,401
ADaPT - FSC,GR_e8WvV7yfmvsbr9k,FSC_0.0.1_ADaPT_s04_Follow-up_9mon,SV_722ofraQZJvdR41,401
ADaPT - FSC,GR_e8WvV7yfmvsbr9k,FSC_0.0.1_ADaPT_s1.1_Interview_Confidence_pre,SV_bjxfAHg3tMyODpc,401
ADaPT - FSC,GR_e8WvV7yfmvsbr9k,FSC_0.0.1_ADaPT_s1.1_Interview_Confidence_pre,SV_bjxfAHg3tMyODpc,401
ADaPT - FSC,GR_e8WvV7yfmvsbr9k,FSC_0.0.1_ADaPT_s1.2_Interview_Confidence_post,SV_78IpKCJysYymOq2,401
ADaPT - FSC,GR_e8WvV7yfmvsbr9k,FSC_0.0.1_ADaPT_s1.2_Interview_Confidence_post,SV_78IpKCJysYymOq2,401
ADaPT - FSC,GR_e8WvV7yfmvsbr9k,FSC_0.0.2_ADaPT_2.0_s01_Intake,SV_eDUADWYt5HiyCpg,401
ADaPT - FSC,GR_e8WvV7yfmvsbr9k,FSC_0.0.2_ADaPT_2.0_s01_Intake,SV_eDUADWYt5HiyCpg,401
ADaPT - FSC,GR_e8WvV7yfmvsbr9k,FSC_0.0.2_ADaPT_2.0_s01_Intake_RCT,SV_e5qC1lQvNYShLhA,401
ADaPT - FSC,GR_e8WvV7yfmvsbr9k,FSC_0.0.2_ADaPT_2.0_s01_Intake_RCT,SV_e5qC1lQvNYShLhA,401
ADaPT - FSC,GR_e8WvV7yfmvsbr9k,FSC_0.0.2_ADaPT_2.0_s02_Exit,SV_2aFbtmwjhfb58j4,401
ADaPT - FSC,GR_e8WvV7yfmvsbr9k,FSC_0.0.2_ADaPT_2.0_s02_Exit,SV_2aFbtmwjhfb58j4,401
ADaPT - FSC,GR_e8WvV7yfmvsbr9k,FSC_0.0.2_ADaPT_2.0_s02_Exit_RCT,SV_5v9nNcrXPvCSWhg,401
ADaPT - FSC,GR_e8WvV7yfmvsbr9k,FSC_0.0.2_ADaPT_2.0_s02_Exit_RCT,SV_5v9nNcrXPvCSWhg,401
ADaPT - FSC,GR_e8WvV7yfmvsbr9k,ADaPT 1 Partner Interview Consent Form,SV_9HSFNOoX5b4YDMq,401
ADaPT - FSC,GR_e8WvV7yfmvsbr9k,ADaPT 1 Partner Interview Consent Form,SV_9HSFNOoX5b4YDMq,401
ADaPT - FSC,GR_e8WvV7yfmvsbr9k,ADaPT Interview Scheduling,SV_d9XOxQC4LaapWMl,401
ADaPT - FSC,GR_e8WvV7yfmvsbr9k,ADaPT Interview Scheduling,SV_d9XOxQC4LaapWMl,401
ADaPT - FSC,GR_e8WvV7yfmvsbr9k,ADaPT 2.0 - Interview Invitation,SV_3Vs3vBuAiq0QlxA,404
ADaPT - FSC,GR_e8WvV7yfmvsbr9k,ADaPT 2.0 - Interview Invitation,SV_3Vs3vBuAiq0QlxA,404
BE EPIC - FSC,GR_2n9wx89HNxHeKvs,FSC_0.0.1_Be-EPIC_s01_Contact,SV_6Frvyr4BXAWodW5,200
BE EPIC - FSC,GR_2n9wx89HNxHeKvs,FSC_0.0.1_Be-EPIC_s01_Contact,SV_6Frvyr4BXAWodW5,200
Career Moves - FSC,GR_6AnBu3PGEk8MlyC,Career Moves Baseline Test,SV_8IAnNigvdGn7agR,200
Career Moves - FSC,GR_6AnBu3PGEk8MlyC,Career Moves Baseline Test,SV_8IAnNigvdGn7agR,200
Career Moves - FSC,GR_6AnBu3PGEk8MlyC,FSC_0.0.1_Career-Moves_s01_Baseline,SV_0lewRqotFOtb2AJ,200
Career Moves - FSC,GR_6AnBu3PGEk8MlyC,FSC_0.0.1_Career-Moves_s01_Baseline,SV_0lewRqotFOtb2AJ,200
Career Moves - FSC,GR_6AnBu3PGEk8MlyC,FSC_0.0.1_Career-Moves_s02.1_Early-Exit,SV_1Hx3xYxRReteaXz,200
Career Moves - FSC,GR_6AnBu3PGEk8MlyC,FSC_0.0.1_Career-Moves_s02.1_Early-Exit,SV_1Hx3xYxRReteaXz,200
Career Moves - FSC,GR_6AnBu3PGEk8MlyC,FSC_0.0.1_Career-Moves_s02_Exit,SV_6Dvd66VGNEmTxat,200
Career Moves - FSC,GR_6AnBu3PGEk8MlyC,FSC_0.0.1_Career-Moves_s02_Exit,SV_6Dvd66VGNEmTxat,200
Career Moves - FSC,GR_6AnBu3PGEk8MlyC,FSC_0.0.1_Career-Moves_s03.1_Follow-up_3-Month_EE,SV_djmjhCutGhahb7v,200
Career Moves - FSC,GR_6AnBu3PGEk8MlyC,FSC_0.0.1_Career-Moves_s03.1_Follow-up_3-Month_EE,SV_djmjhCutGhahb7v,200
Career Moves - FSC,GR_6AnBu3PGEk8MlyC,FSC_0.0.1_Career-Moves_s03_Follow-up_3-Month,SV_b9QtiNXvSN8I1ZH,200
Career Moves - FSC,GR_6AnBu3PGEk8MlyC,FSC_0.0.1_Career-Moves_s03_Follow-up_3-Month,SV_b9QtiNXvSN8I1ZH,200
Career Moves - FSC,GR_6AnBu3PGEk8MlyC,FSC_0.0.1_Career-Moves_s04.1_Follow-up_9-Month_EE,SV_1XfUH2UssWOXZoF,200
Career Moves - FSC,GR_6AnBu3PGEk8MlyC,FSC_0.0.1_Career-Moves_s04.1_Follow-up_9-Month_EE,SV_1XfUH2UssWOXZoF,200
Career Moves - FSC,GR_6AnBu3PGEk8MlyC,FSC_0.0.1_Career-Moves_s04_Follow-up_9-Month,SV_39ptksJ0J216eEJ,200
Career Moves - FSC,GR_6AnBu3PGEk8MlyC,FSC_0.0.1_Career-Moves_s04_Follow-up_9-Month,SV_39ptksJ0J216eEJ,200
CCDF - FSC,GR_88RNCZaDOoFD5vE,CCDF_facilitator_worksheet_demo,SV_1MklRZeh2TnbGW9,404
CCDF - FSC,GR_88RNCZaDOoFD5vE,CCDF_facilitator_worksheet_demo,SV_1MklRZeh2TnbGW9,404
EDGE UP,GR_2hFe1cqhrDJ2Ry6,FSC_0.0.1_EDGE_UP_2.0_s01_Baseline,SV_4OSSsaRVlPhZygC,401
EDGE UP,GR_2hFe1cqhrDJ2Ry6,FSC_0.0.1_EDGE_UP_2.0_s01_Baseline,SV_4OSSsaRVlPhZygC,401
FAST,GR_78TvHpMyJbgWaoK,FAST 1.0 - Interview Invitation,SV_cUZOfM3jtySg7KR,401
FAST,GR_78TvHpMyJbgWaoK,FAST 1.0 - Interview Invitation,SV_cUZOfM3jtySg7KR,401
FAST,GR_78TvHpMyJbgWaoK,FAST 1.0 - Interview Invitation 2,SV_1ML0wMj2WgJNXhz,401
FAST,GR_78TvHpMyJbgWaoK,FAST 1.0 - Interview Invitation 2,SV_1ML0wMj2WgJNXhz,401
FAST,GR_78TvHpMyJbgWaoK,FAST 2.0 - Interview Invitation,SV_eDm6ZZLGY8OmI86,404
FAST,GR_78TvHpMyJbgWaoK,FAST 2.0 - Interview Invitation,SV_eDm6ZZLGY8OmI86,404
FAST,GR_78TvHpMyJbgWaoK,FSC_0.0.1_FAST_2.0_s01_Exit,SV_0DIEg5VLVv8ZBcy,401
FAST,GR_78TvHpMyJbgWaoK,FSC_0.0.1_FAST_2.0_s01_Exit,SV_0DIEg5VLVv8ZBcy,401
FAST,GR_78TvHpMyJbgWaoK,FSC_0.0.1_FAST_2.0_s02_Follow-Up,SV_bw8l9TugUDjg8xE,401
FAST,GR_78TvHpMyJbgWaoK,FSC_0.0.1_FAST_2.0_s02_Follow-Up,SV_bw8l9TugUDjg8xE,401
FAST,GR_78TvHpMyJbgWaoK,FSC_0.0.1_FAST_2.0_s03_Follow-Up-9mon,SV_eQVcksQbpDYNy2a,401
FAST,GR_78TvHpMyJbgWaoK,FSC_0.0.1_FAST_2.0_s03_Follow-Up-9mon,SV_eQVcksQbpDYNy2a,401
FAST,GR_78TvHpMyJbgWaoK,FSC_0.0.1_FAST_s01_Exit,SV_87FQXCQVjasPB8F,401
FAST,GR_78TvHpMyJbgWaoK,FSC_0.0.1_FAST_s01_Exit,SV_87FQXCQVjasPB8F,401
FAST,GR_78TvHpMyJbgWaoK,FSC_0.0.1_FAST_s02_Follow-Up,SV_3OyVwUbFs4xOlRH,401
FAST,GR_78TvHpMyJbgWaoK,FSC_0.0.1_FAST_s02_Follow-Up,SV_3OyVwUbFs4xOlRH,401
FAST,GR_78TvHpMyJbgWaoK,FSC_0.01_FAST_s03_Interview_Exit,SV_eCLiChYXtA76zfT,401
FAST,GR_78TvHpMyJbgWaoK,FSC_0.01_FAST_s03_Interview_Exit,SV_eCLiChYXtA76zfT,401
FAST,GR_78TvHpMyJbgWaoK,FSC_0.0.2_FAST_2.0_s01_Exit_CoF,SV_cZRtog06ZpOxPp4,401
FAST,GR_78TvHpMyJbgWaoK,FSC_0.0.2_FAST_2.0_s01_Exit_CoF,SV_cZRtog06ZpOxPp4,401
FAST,GR_78TvHpMyJbgWaoK,FSC_0.0.2_FAST_2.0_s02_Follow-Up_CoF,SV_24X0jLiWAwf7R2u,401
FAST,GR_78TvHpMyJbgWaoK,FSC_0.0.2_FAST_2.0_s02_Follow-Up_CoF,SV_24X0jLiWAwf7R2u,401
Flagship - FSC,GR_00uKuoRmyAKEZYq,FSC_Flagship_s01_Baseline,SV_0HEqG6Mzu51uNnf,200
Flagship - FSC,GR_00uKuoRmyAKEZYq,FSC_Flagship_s01_Baseline,SV_0HEqG6Mzu51uNnf,200
Flagship - FSC,GR_00uKuoRmyAKEZYq,FSC_Flagship_s01_Baseline_v02,SV_9v1cQLYEdhzjpIN,200
Flagship - FSC,GR_00uKuoRmyAKEZYq,FSC_Flagship_s01_Baseline_v02,SV_9v1cQLYEdhzjpIN,200
Flagship - FSC,GR_00uKuoRmyAKEZYq,FSC_Flagship_s01_Panel_Baseline,SV_56AFjOcM8EsYWBT,200
Flagship - FSC,GR_00uKuoRmyAKEZYq,FSC_Flagship_s01_Panel_Baseline,SV_56AFjOcM8EsYWBT,200
Flagship - FSC,GR_00uKuoRmyAKEZYq,FSC_Flagship_s02_Follow-up-01,SV_6gx1vinyFwmPyXr,200
Flagship - FSC,GR_00uKuoRmyAKEZYq,FSC_Flagship_s02_Follow-up-01,SV_6gx1vinyFwmPyXr,200
Indigenous ICT,GR_4TM3LBRKWmOEMMS,FSC_I-ICT_s01_Mid-Training Survey Phase 1,SV_295piEIOEjjrQtn,200
Indigenous ICT,GR_4TM3LBRKWmOEMMS,FSC_I-ICT_s01_Mid-Training Survey Phase 1,SV_295piEIOEjjrQtn,200
Indigenous ICT,GR_4TM3LBRKWmOEMMS,FSC_I-ICT_s03_Mid-Training Survey Phase 2,SV_3f0ZjMXkqYKSES1,200
Indigenous ICT,GR_4TM3LBRKWmOEMMS,FSC_I-ICT_s03_Mid-Training Survey Phase 2,SV_3f0ZjMXkqYKSES1,200
Indigenous ICT,GR_4TM3LBRKWmOEMMS,FSC_0.0.1_I-ICT_s02_DemoEmployment,SV_eEi1hkLiYXApryB,200
Indigenous ICT,GR_4TM3LBRKWmOEMMS,FSC_0.0.1_I-ICT_s02_DemoEmployment,SV_eEi1hkLiYXApryB,200
Indigenous ICT,GR_4TM3LBRKWmOEMMS,FSC_0.0.1_I-ICT_s03_DemoEmploymentConsent,SV_e2wiK6syuPwHTCd,200
Indigenous ICT,GR_4TM3LBRKWmOEMMS,FSC_0.0.1_I-ICT_s03_DemoEmploymentConsent,SV_e2wiK6syuPwHTCd,200
Mohawk,GR_25DAxdhZhcAysm2,FSC_0.0.1_Mohawk_s01_Intake,SV_0lEHvipVlZpcNRs,401
Mohawk,GR_25DAxdhZhcAysm2,FSC_0.0.1_Mohawk_s01_Intake,SV_0lEHvipVlZpcNRs,401
Mohawk,GR_25DAxdhZhcAysm2,FSC_0.0.2_Mohawk_s01_Intake_Survey_COF,SV_5zlKvWMsqvkxJTU,401
Mohawk,GR_25DAxdhZhcAysm2,FSC_0.0.2_Mohawk_s01_Intake_Survey_COF,SV_5zlKvWMsqvkxJTU,401
Mohawk,GR_25DAxdhZhcAysm2,FSC_0.0.2_Mohawk_s02_Exit_Survey_COF,SV_1G1xtdbMiVtxxXM,401
Mohawk,GR_25DAxdhZhcAysm2,FSC_0.0.2_Mohawk_s02_Exit_Survey_COF,SV_1G1xtdbMiVtxxXM,401
Mohawk,GR_25DAxdhZhcAysm2,FSC_0.0.2_Mohawk_s03_follow-up_3mon_COF,SV_3QPviuVSNtHGXC6,401
Mohawk,GR_25DAxdhZhcAysm2,FSC_0.0.2_Mohawk_s03_follow-up_3mon_COF,SV_3QPviuVSNtHGXC6,401
Mohawk,GR_25DAxdhZhcAysm2,FSC_0.01_Mohawk_s01_Exit,SV_bjRdpeqe79XBtqu,401
Mohawk,GR_25DAxdhZhcAysm2,FSC_0.01_Mohawk_s01_Exit,SV_bjRdpeqe79XBtqu,401
Pier Labs,GR_eh3YhgzffQ4kQJw,FSC_0.0.2_Pier_Labs_2.0_s01_Intake,SV_88QprUlFFbzrrsW,401
Pier Labs,GR_eh3YhgzffQ4kQJw,FSC_0.0.2_Pier_Labs_2.0_s01_Intake,SV_88QprUlFFbzrrsW,401
Pier Labs,GR_eh3YhgzffQ4kQJw,FSC_0.0.2_Pier_Labs_2.0_s01_Intake_Contact_info_box,SV_9G1g1iVUoHtZSvQ,404
Pier Labs,GR_eh3YhgzffQ4kQJw,FSC_0.0.2_Pier_Labs_2.0_s01_Intake_Contact_info_box,SV_9G1g1iVUoHtZSvQ,404
Pier Labs,GR_eh3YhgzffQ4kQJw,FSC_0.0.2_Pier_Labs_2.0_s02_Exit,SV_0qWS3SdhzEAfweG,401
Pier Labs,GR_eh3YhgzffQ4kQJw,FSC_0.0.2_Pier_Labs_2.0_s02_Exit,SV_0qWS3SdhzEAfweG,401
Pier Labs,GR_eh3YhgzffQ4kQJw,FSC_0.0.2_Pier_Labs_2.0_s03_3-month-follow-up,SV_bxPSx1xBlnrljsq,401
Pier Labs,GR_eh3YhgzffQ4kQJw,FSC_0.0.2_Pier_Labs_2.0_s03_3-month-follow-up,SV_bxPSx1xBlnrljsq,401
